paciente_id,nome,sobrenome,data_nascimento,genero,cpf,rg,endereco,cidade,estado,cep,telefone,email,tipo_sanguineo,historico_medico_resumo,data_cadastro
37,Davi Lucca,da Cruz,2020-05-26,Outro,604.318.279-31,187032567,"Morro Melina Fernandes, 723",Pinto de Carvalho,MS,92211327,84 6092 7036,marquesvitor-gabriel@example.net,B-,Expedita quod quo necessitatibus non laborum totam sequi. Eius voluptatum fugit quasi soluta fuga.,2025-02-19 20:34:24
38,Lívia,da Rocha,2008-08-14,Outro,130.286.794-69,106325486,"Alameda de Pimenta, 10",Costa,PA,83885-102,+55 71 2389 9916,bda-luz@example.net,AB-,Est excepturi ipsa repudiandae qui.,2022-03-17 20:34:24
39,Davi Luiz,Brito,1971-12-07,M,208.315.496-70,648712308,"Estrada Albuquerque, 46",Souza de Pires,PI,62011479,61 4476-0814,gustavo-henriquecunha@example.net,A-,Numquam quisquam explicabo numquam expedita velit aspernatur. Necessitatibus consequuntur molestiae ad asperiores minus.,2024-01-28 20:34:24
40,Heitor,Abreu,1967-01-03,M,347.695.812-46,605183247,"Recanto Sousa, 97",Nascimento,PI,50421372,+55 (041) 4879 7906,isabeloliveira@example.net,AB+,Laborum cum incidunt hic excepturi excepturi eligendi nulla. Voluptates nemo quasi.,2025-02-06 20:34:24
41,Maria Luísa,Barros,1976-01-18,Outro,386.017.524-62,870542163,"Praça Antônio Nunes, 73",Cardoso,MS,30847948,(041) 1261 1868,miguel36@example.org,A-,Officia quidem cupiditate voluptates at.,2021-12-11 20:34:24
42,Elisa,Araújo,1995-05-28,F,385.412.609-33,162740384,"Estrada Rodrigues, 10",da Luz,PB,01886-841,61 0345-7766,marianecamara@example.net,O-,Eveniet maxime magnam quia a quis temporibus dignissimos. Totam dolore unde id expedita eum architecto.,2024-06-24 20:34:24
43,Isaque,Rodrigues,1987-11-11,M,216.987.403-87,740813651,"Passarela Pietra Rios, 13",Macedo,PE,20839-445,(081) 8160-1303,marcelada-rosa@example.org,AB+,Nesciunt doloribus quidem blanditiis. Quos recusandae est laboriosam adipisci laborum.,2024-03-22 20:34:24
44,Luna,Mendes,1974-08-28,F,579.624.038-29,546207315,"Travessa Gabrielly Pires, 56",Fernandes,RO,02865526,0900 282 9229,cavalcantimanuela@example.com,O+,Veniam aperiam nihil rerum laudantium quod sed. Ea dolore repellat culpa.,2023-07-04 20:34:24
45,Caleb,Moreira,1965-11-29,M,192.506.347-06,831625405,"Viela Kamilly Silva, 22",Casa Grande Verde,AL,32233381,(031) 7331-0977,gmartins@example.com,O-,Consectetur minima beatae ab occaecati optio ad.,2021-08-04 20:34:24
46,Ana,Lima,1960-11-09,F,587.203.649-38,742653018,"Esplanada Guerra, 59",Pereira de da Mota,AP,53318857,+55 71 6302-6685,pireslavinia@example.org,B-,Dolorum nostrum omnis blanditiis quos totam. Veritatis ducimus molestiae nesciunt reprehenderit.,2022-09-22 20:34:24
47,Luiz Felipe,Cardoso,1994-03-09,M,296.703.548-38,371425803,"Lago Camargo, 219",Aragão da Praia,RJ,10160-028,21 4070-2978,bellanogueira@example.net,AB+,Commodi illo inventore tempora maiores fugit ipsum.,2024-08-22 20:34:24
48,Stephany,da Costa,1984-09-12,F,120.935.864-60,104275637,"Trevo Bruna Barbosa, 1",Moraes do Campo,SP,48356-253,(061) 8598 0850,vianajoana@example.com,B+,Unde animi fugiat consequatur veniam sint.,2023-04-13 20:34:24
49,Bento,Mendonça,2009-06-01,M,914.287.350-97,508761426,"Loteamento de Castro, 13",Moraes,PE,17957-988,+55 61 2880 9168,antonypastor@example.com,A-,Quas non ab amet.,2023-07-08 20:34:24
50,Vicente,Sampaio,1998-11-18,M,174.925.083-79,670435120,"Recanto Ferreira, 80",Ferreira da Serra,AM,63635-133,21 4842 1030,fmoreira@example.com,B-,Eveniet incidunt eos maiores illum. Quos sequi cupiditate nemo nobis dolores eaque repellendus.,2021-01-26 20:34:24
51,Erick,Araújo,1980-10-01,M,024.783.956-65,05623417X,"Loteamento Enzo Gabriel Garcia, 71",Cavalcante,SP,28017979,81 4352 2050,raulcavalcanti@example.com,AB+,Cupiditate quos laborum error.,2025-04-28 20:34:24
52,João Gabriel,Costa,1963-02-24,M,390.781.562-95,410285365,"Área Maria Julia Moreira, 50",Vieira,RN,34259-591,(021) 0300-8314,heitorfernandes@example.net,AB+,Consectetur harum itaque eum ipsum. Aut harum beatae necessitatibus optio libero soluta ex.,2022-09-15 20:34:24
53,Ana Julia,da Mota,1941-05-21,F,709.138.425-32,380257142,"Distrito de das Neves, 95",Leão,PE,81937-341,+55 (084) 6422 2243,juan99@example.net,O-,Libero est id laboriosam eveniet suscipit animi.,2022-09-17 20:34:24
54,Cecília,Nogueira,1941-07-16,Outro,926.045.387-92,371256409,"Via Pimenta, 334",Costa do Oeste,MA,73606443,11 1833 0895,britosophia@example.com,B+,Magni earum delectus recusandae repellat magni eos in. Beatae quam similique atque occaecati veritatis.,2021-12-10 20:34:24
55,Pietro,Abreu,1971-08-04,M,627.584.091-94,537086146,"Quadra Theo Novais, 95",Pinto da Praia,PI,18747434,(031) 8679-7657,leandro54@example.com,B+,Maiores error explicabo placeat. Sunt mollitia ex deserunt quae occaecati.,2025-07-01 20:34:24
56,Anthony,Correia,1955-03-28,M,630.458.721-07,35084267X,"Fazenda Silva, 17",da Cruz,AL,29106179,+55 81 3790 6229,diasclara@example.org,AB+,Consectetur quasi nostrum incidunt.,2020-11-22 20:34:24
57,Pietro,Camargo,1953-12-02,Outro,059.372.418-60,613784522,"Esplanada de Lima, 5",Albuquerque,PA,95757-292,(041) 8010-1445,vitorianovaes@example.org,AB+,Ratione quam totam tempore quam inventore. Accusantium sint asperiores quasi.,2023-02-24 20:34:24
58,Camila,Mendes,2013-12-26,F,350.496.271-25,824706316,"Loteamento Noah Ferreira, 54",Carvalho de Moreira,ES,05614603,(061) 5529 7456,nicolasribeiro@example.net,AB-,Unde doloribus voluptates aspernatur a incidunt. Reiciendis ipsum error quae eveniet voluptatibus quidem.,2021-09-30 20:34:24
59,Agatha,Casa Grande,1954-12-09,F,607.185.394-00,306257816,"Vereda Garcia, 83",Rios,AL,54467-956,+55 11 3367-4996,pedro49@example.org,O+,Eos voluptatibus distinctio architecto porro quos in.,2024-02-11 20:34:24
60,Benício,Borges,2012-06-24,M,879.310.456-10,746082356,"Avenida Emanuel Silveira, 7",Costa,AP,75066-961,(021) 4770 4791,bcosta@example.com,B-,Doloribus omnis officia hic vel.,2025-05-01 20:34:24
61,Nina,Moura,1946-10-25,Outro,479.560.312-06,60543217X,"Vereda Ramos, 3",da Costa,BA,77460-731,+55 (071) 6099-6811,ravy24@example.net,AB+,Harum porro reprehenderit facilis blanditiis neque fugiat.,2021-07-22 20:34:24
62,Isadora,Ramos,1993-12-11,F,365.910.278-40,568320141,"Favela de Montenegro, 85",Abreu das Flores,RO,10408-727,+55 71 9857-8726,nicolasda-costa@example.net,A-,Illum veniam a totam. Sapiente laudantium fugit dignissimos libero.,2024-05-29 20:34:24
63,Sophia,da Mata,2004-10-01,F,637.958.120-03,654312801,"Pátio Pimenta, 12",Costa,TO,70533449,+55 (021) 6802 1196,maria-clara31@example.net,O-,Accusantium explicabo doloribus tempora porro tempora laboriosam.,2025-04-29 20:34:24
64,Sabrina,Aparecida,1984-04-03,F,478.913.620-50,321064756,"Praia João Lucas Araújo, 40",Moreira,ES,33930441,21 3669 8446,maria-lizborges@example.org,A-,Consequatur rerum doloribus molestiae quam totam repellendus.,2022-08-20 20:34:24
65,Ágatha,Campos,1950-03-27,Outro,045.318.296-89,640185277,Recanto de Rezende,Barbosa,PR,18885122,(051) 4605-5461,cda-costa@example.net,B+,Ex eveniet ab cumque labore.,2023-09-19 20:34:24
66,Maya,Rezende,1957-02-04,F,295.380.614-89,810654738,"Estrada Viana, 29",Porto,ES,11357-510,84 0596-9617,ivargas@example.com,O-,Eligendi qui autem cumque.,2023-04-14 20:34:24
67,Benício,Pimenta,1938-10-21,Outro,469.801.375-57,210867541,"Passarela de Pacheco, 7",Aparecida de Dias,RO,17300-651,+55 (011) 4169-0072,ryancostela@example.org,B-,Necessitatibus accusamus odio ex temporibus veritatis quod.,2023-12-13 20:34:24
68,Heloísa,Oliveira,1973-12-30,F,239.581.074-60,14306275X,"Condomínio Campos, 92",Pires de Castro,ES,52164-188,61 6497-4259,maria-julia29@example.net,A-,Assumenda illum ab molestiae sit recusandae. Aliquid fugit expedita repellat repudiandae eos dicta.,2022-10-08 20:34:24
69,Carlos Eduardo,Moreira,1981-05-11,M,573.192.804-50,054376828,"Vila Yasmin Mendonça, 40",Vargas de Leão,GO,14679-036,0900-108-9049,kfarias@example.com,A+,Optio optio suscipit libero molestias dolorum. Autem dicta voluptas autem fugit.,2025-01-04 20:34:24
70,Davi Lucca,da Mata,1944-02-21,Outro,195.384.206-24,271063488,"Feira da Conceição, 42",Fogaça Alegre,PE,92816-550,+55 41 6090 8232,ravysilva@example.net,A+,Atque officia neque.,2024-05-28 20:34:24
71,Hellena,da Mota,1994-04-13,F,903.187.624-04,436782510,"Setor Mendes, 21",Lopes,MS,35103160,(011) 3716 6846,otavio21@example.com,B-,Voluptatibus voluptas ad nesciunt.,2023-09-06 20:34:24
72,Lorenzo,Cavalcanti,1975-03-18,M,437.120.598-41,374610824,"Condomínio de Santos, 749",Rocha,RN,01441-490,0800 119 6256,larissa00@example.net,B-,Non asperiores sunt natus harum amet voluptas.,2024-01-25 20:34:24
73,Allana,Pimenta,2003-04-11,F,740.826.391-87,164083522,"Viaduto Vicente Pinto, 12",Dias dos Dourados,AC,09498051,0500 545 1818,isabelly83@example.net,O+,Recusandae unde quas earum.,2021-04-06 20:34:24
74,Diogo,da Costa,1949-12-20,M,645.297.018-67,783625406,"Recanto Almeida, 361",Costela das Flores,RN,59150407,0500 135 2294,kmachado@example.com,O+,Dolores facilis mollitia nisi aliquid delectus sequi.,2024-06-10 20:34:24
75,Enrico,da Paz,1959-06-24,M,076.543.192-07,456837103,"Feira de da Mota, 43",Barbosa,SP,52420919,+55 21 7512-9693,vitor-hugo77@example.org,AB-,Autem eligendi magnam sint.,2023-11-14 20:34:24
76,Vinícius,Rios,2001-07-27,M,423.697.185-28,40836175X,"Rua de Aparecida, 55",Sales do Norte,PI,82983-475,84 5467-8323,pachecomathias@example.net,O-,Rerum maiores nobis eaque pariatur quibusdam vel dolorum. Excepturi vitae voluptatem necessitatibus.,2023-06-15 20:34:24
77,Henrique,Cavalcanti,1945-11-14,Outro,032.561.794-52,325104670,"Alameda de Caldeira, 57",Silva de Minas,SP,86523-698,+55 (061) 2971-6429,isadorapinto@example.net,AB-,Accusamus perferendis vitae expedita vel. Temporibus fuga nobis minima velit rem.,2023-02-04 20:34:24
78,Rhavi,Gonçalves,1940-03-05,Outro,046.391.752-99,872563406,"Alameda de Pires, 5",Santos,PA,57720044,(011) 3241-9100,camararodrigo@example.com,A-,Voluptatibus quod adipisci sint voluptatum facere amet. Sed corporis soluta sequi dicta provident ducimus.,2024-06-10 20:34:24
79,Valentina,Rocha,1968-07-05,F,653.892.410-70,487125605,"Alameda Eloá Duarte, 55",Duarte,MA,06727886,71 2674-8577,mcirino@example.org,A-,Nam tempora ut minus sit.,2021-01-17 20:34:24
80,Kevin,Aragão,1971-05-30,M,234.597.680-29,245038619,"Trevo de Costela, 19",Fernandes,RR,69471281,0300 189 1582,ycirino@example.com,B-,Molestias facilis maxime animi nam corrupti a. Aliquam cumque numquam.,2024-01-27 20:34:24
81,Vinicius,Costa,2006-05-13,M,612.978.043-50,731624506,"Estrada Ana Sophia Vasconcelos, 89",Costa,TO,73215-155,0900 980 5365,moraessophie@example.net,A+,Fugit facilis exercitationem blanditiis ut nobis sed. Omnis quia odit dolore.,2021-05-19 20:34:24
82,Bárbara,Silveira,1964-07-19,F,420.965.871-58,250371686,"Chácara da Mata, 17",Souza dos Dourados,MA,13608-053,+55 71 0215-3044,rbarbosa@example.net,A+,Minima at quod architecto cupiditate temporibus autem. Suscipit nemo deleniti.,2021-07-22 20:34:24
83,Luna,Fonseca,1960-09-05,F,251.308.764-07,352174067,"Lagoa Lorena Ramos, 3",Campos do Oeste,GO,69258220,+55 (041) 1704 4940,souzaallana@example.net,A-,Odio corporis odio molestias magni accusantium. Sint minima sequi debitis nam ducimus veniam.,2022-12-18 20:34:24
84,Thomas,da Rosa,1995-04-20,Outro,375.418.620-53,634710527,"Avenida de da Costa, 93",Rodrigues de Minas,AM,77185877,+55 (081) 7050-2111,marcos-viniciusmarques@example.net,B+,Repellat laudantium aut voluptatem sequi possimus impedit. Iure nam eum dolorum quaerat suscipit at.,2022-12-17 20:34:24
85,Augusto,Cavalcanti,1964-06-03,Outro,803.567.149-93,742816539,"Loteamento Melissa Duarte, 38",Sousa,MS,44084222,+55 51 3632 8733,pcardoso@example.net,A+,Unde fugit voluptate.,2023-08-04 20:34:24
86,Catarina,Nascimento,1959-01-10,F,362.945.871-82,703156822,"Favela Maria Eduarda Caldeira, 27",Brito,PR,22828-933,41 6347 2828,borgesarthur-gabriel@example.net,AB-,Sequi recusandae voluptatibus voluptatem accusantium animi. Inventore inventore earum laborum blanditiis voluptatum.,2021-10-31 20:34:24
87,Cecilia,Gonçalves,1967-04-22,F,945.021.378-04,703624180,"Pátio Felipe Casa Grande, 55",Montenegro,SP,92010337,(081) 2224-1447,idias@example.com,A-,Aliquam doloribus doloribus dolore. Quia animi consectetur qui.,2023-08-08 20:34:24
88,Heloísa,Sousa,2000-02-22,F,851.296.473-19,701435264,Setor Júlia Nunes,Farias de Sampaio,PI,28838-854,61 8858 0927,milenafarias@example.com,B-,Animi porro dicta aut rem perspiciatis veniam ipsum.,2024-03-05 20:34:24
89,Stephany,Carvalho,1961-01-11,F,426.350.179-99,352710688,"Residencial Milena Monteiro, 25",Pastor de da Paz,ES,60873-597,+55 71 4527-9957,heitorvargas@example.com,AB+,Culpa id necessitatibus nulla. Libero iure assumenda magni laudantium porro quam sapiente.,2023-12-18 20:34:24
90,Natália,Nascimento,2011-01-04,F,286.179.534-46,318072543,"Lagoa de Rios, 406",Garcia,AM,60228941,+55 (071) 4481 2502,anna-liz94@example.org,O+,Tempora fugiat suscipit omnis ex. In optio excepturi pariatur vel provident praesentium quis.,2025-04-21 20:34:24
91,Oliver,Sales,1969-04-02,M,034.958.761-20,301785260,"Lago Guilherme Sá, 9",Camargo do Galho,PI,25519136,+55 71 8116 3336,dramos@example.com,B-,Nobis voluptate voluptatum fugit corporis repellat quaerat. Molestias deserunt temporibus ea voluptatum id molestias ratione.,2023-07-15 20:34:24
92,Leandro,Costela,1937-11-19,Outro,986.437.150-93,45768320X,Recanto Igor Rocha,Nunes,MS,98185-624,11 8592 8550,henry-gabriel08@example.com,AB-,Occaecati minima laborum.,2024-03-29 20:34:24
93,Isabel,da Cunha,1982-01-28,F,231.896.570-68,723065482,"Morro de da Rocha, 51",Oliveira,PE,42360-307,+55 51 5636 4198,lsampaio@example.com,AB-,Fuga soluta nihil illum id. Consequuntur vitae asperiores culpa.,2024-04-17 20:34:24
94,Pietra,Pacheco,1935-08-20,Outro,534.680.217-71,203176583,Esplanada Sofia Silveira,Alves,RS,07422-603,+55 (041) 3643-7205,hnunes@example.com,AB+,Ea quia corporis a nobis veniam nemo. Minus inventore tenetur tenetur.,2023-01-18 20:34:24
95,Antônio,Cavalcanti,1952-06-11,Outro,894.621.735-91,678145301,"Chácara Cavalcante, 68",Rezende,PE,73379-633,(011) 8819-0421,silveiraisabela@example.net,A-,Illo id explicabo commodi sed dolorem. Aut eius rem suscipit.,2021-11-14 20:34:24
96,Fernando,Abreu,1938-11-03,M,194.607.258-30,480153267,"Quadra Natália Fogaça, 33",Melo do Oeste,RO,86304826,+55 (021) 6608-3061,pedro86@example.org,A-,Sed tenetur velit doloremque sequi animi.,2024-03-10 20:34:24
97,Natália,Sampaio,1974-10-25,F,283.054.971-60,261087356,"Fazenda de Guerra, 50",da Luz de Sampaio,PR,95431162,+55 61 0873 3228,mcaldeira@example.net,A-,Quaerat temporibus dolores necessitatibus ipsam ipsa.,2024-07-30 20:34:24
98,Eduarda,Marques,1995-11-17,Outro,415.039.628-06,072381656,"Setor de Borges, 5",Machado,MG,30810-427,31 7907 2924,osantos@example.com,A-,Ipsum molestiae explicabo labore molestias.,2024-03-11 20:34:24
99,Marcos Vinicius,Campos,2019-09-22,M,531.476.908-57,603527140,"Colônia Luiz Gustavo Rios, 46",Rocha de Mendes,RO,02894-180,61 3457 3362,das-nevesvalentim@example.net,O+,A eum veritatis repellat. Omnis quod mollitia commodi voluptatibus.,2025-02-13 20:34:24
100,Heloísa,Almeida,2011-04-11,F,275.431.086-07,307561240,"Pátio Olivia Almeida, 23",da Costa do Amparo,SP,56039035,+55 51 2404 4257,olivia79@example.org,A+,Quaerat hic excepturi non quo.,2025-07-26 20:34:24
