funcionario_id,hospital_id,nome,sobrenome,cpf,cargo,especialidade,crm_coren,data_contratacao,salario,turno,email_corporativo,status_funcionario
25,2,Marcela,Abreu,859.034.261-15,Administrativo,,,2016-07-25,2156.27,Noturno,santoscarlos-eduardo@example.com,Afastado
26,3,Vicente,Vasconcelos,738.529.410-32,Limpeza,,,2022-12-11,17235.41,Diurno,bdias@example.com,Ferias
27,1,Olívia,Ferreira,254.386.917-46,Tecnico Enfermagem,,,2019-05-29,4967.76,Diurno,silveirabarbara@example.org,Afastado
28,1,João Pedro,Lima,645.270.938-00,Medico,Dermatologista,CRM/RN 15754,2006-10-06,16965.3,Manha,oferreira@example.com,Afastado
29,3,Luana,Sampaio,203.958.617-21,Limpeza,,,2022-02-11,13373.91,Tarde,gporto@example.org,Ferias
30,1,Benicio,Teixeira,497.620.581-94,Limpeza,,,2022-11-29,5430.79,Manha,nunesjoao-lucas@example.org,Ativo
31,1,Maria Helena,Moraes,563.021.978-21,Tecnico Enfermagem,,,2010-02-05,22296.45,Diurno,julianarocha@example.com,Ativo
32,3,Antony,Barros,289.670.153-21,Limpeza,,,2019-12-05,20896.17,Tarde,martinskaique@example.com,Ativo
33,1,Antônio,Siqueira,134.508.297-50,Tecnico Laboratorio,,,2022-10-31,2061.49,Noite,wmacedo@example.net,Desligado
34,2,Luana,Monteiro,204.573.816-71,Seguranca,,,2006-06-25,15328.38,Diurno,novaeskaique@example.org,Ferias
35,2,Benicio,Moura,506.398.274-38,Tecnico Enfermagem,,,2008-11-22,11202.22,Manha,leandrolima@example.org,Afastado
36,2,Enrico,Sales,389.201.475-23,Limpeza,,,2016-09-09,8840.66,Tarde,ravi-lucca85@example.com,Ativo
37,1,Henrique,Barbosa,756.809.312-30,Limpeza,,,2008-08-17,20546.46,Noturno,gda-cunha@example.org,Ativo
38,3,Cecília,Castro,486.397.520-10,Enfermeiro,Enfermeiro UTI,COREN/RO 614488,2011-02-23,16573.93,Manha,goncalvesmanuella@example.net,Afastado
39,2,Stephany,Cardoso,019.725.638-40,Medico,Dermatologista,CRM/ES 84996,2008-07-21,15767.42,Manha,mouramaria-eduarda@example.com,Ferias
40,1,Alícia,Pimenta,572.610.498-67,Atendente,,,2023-09-03,6373.95,Tarde,ferreirapedro-lucas@example.net,Desligado
41,1,Rael,Pinto,951.832.740-88,Administrativo,,,2018-03-18,19683.33,Diurno,leandro30@example.org,Ativo
42,1,Giovanna,Correia,316.720.894-50,Medico,Ginecologista,CRM/SE 63725,2011-04-12,17325.91,Manha,zsiqueira@example.com,Desligado
43,1,Zoe,da Cruz,549.387.620-56,Administrativo,,,2010-03-07,6929.93,Noite,aragaodaniela@example.com,Afastado
44,2,Renan,Marques,019.874.326-22,Atendente,,,2016-05-24,18142.49,Noturno,hlima@example.com,Afastado
45,3,Aurora,Farias,416.053.829-06,Limpeza,,,2020-04-08,11576.49,Diurno,da-mataluiza@example.net,Ferias
46,3,Luan,Vieira,815.796.340-01,Enfermeiro,Enfermeiro Chefe,COREN/PE 254833,2011-12-31,18158.93,Diurno,barrosana-carolina@example.com,Ferias
47,3,Guilherme,da Rocha,491.852.630-60,Seguranca,,,2016-05-12,4331.07,Manha,lfernandes@example.org,Ferias
48,1,Cauê,Machado,643.598.217-19,Atendente,,,2017-08-18,20644.3,Noturno,ida-paz@example.org,Desligado
49,3,Caleb,Guerra,740.259.683-47,Administrativo,,,2020-07-07,21657.02,Noite,diasravi-lucca@example.com,Ativo
50,2,Bianca,Rezende,259.146.807-94,Administrativo,,,2009-05-10,7012.6,Tarde,castrolevi@example.org,Ferias
